time,battery,totalGenerated,spareModules,totalDirt,totalModules
10980.11,999999999.863015,73225123.4208634,47.1199994964898,15500,47.1199994964898
11041.73,1000000000,73225126.5977149,47.1199994964898,15500,47.1199994964898
11101.53,999999999.773071,73225129.0158583,47.1199994964898,15500,47.1199994964898
11162.41,1000000000,73225131.5335906,47.1199994964898,15500,47.1199994964898
11220.3,1000000000,73225132.4913943,47.1199994964898,15500,47.1199994964898
11281.28,1000000000,73225134.5416597,47.1199994964898,15500,47.1199994964898
11341.61,1000000000,73225137.6371431,47.1199994964898,15500,47.1199994964898
11401.33,1000000000,73225139.020401,47.1199994964898,15500,47.1199994964898
11460.43,999399283.596175,73474520.7893963,47.5922746597347,16000,47.5922746597347
11520.96,998188631.207188,74079845.8004112,48.6011497025222,16500,48.6011497025222
11580.82,997466348.710675,74678397.3485346,49.5987356402171,16500,49.5987356402171
11642.68,997359399.895975,75297018.2925577,50.1599994640052,16500,50.1599994640052
11700.76,996747293.161519,75877777.2373075,50.822701271577,17000,50.822701271577
11761.09,996194424.566671,76481112.1648664,51.6799994477629,17000,51.6799994477629
11823.21,996815555.95015,77102245.0798864,51.6799994477629,17000,51.6799994477629
11881.57,997399211.210006,77685903.0026312,51.6799994477629,17000,51.6799994477629
11940.43,997987842.083899,78274535.8628149,51.6799994477629,17000,51.6799994477629
12003.07,998614237.500323,78900933.4379549,51.6799994477629,17000,51.6799994477629
12060.92,999192733.586876,79479430.7536001,51.6799994477629,17000,51.6799994477629
12120.65,999790010.587069,80076710.1520414,51.6799994477629,17000,51.6799994477629
12183.09,1000000000,80286700.8616786,51.6799994477629,17000,51.6799994477629
12241.75,999999999.782356,80286703.3435242,51.6799994477629,17000,51.6799994477629
12301.54,1000000000,80286705.508442,51.6799994477629,17000,51.6799994477629
12360.8,1000000000,80286707.8391181,51.6799994477629,17000,51.6799994477629
12421.9,1000000000,80286709.3163747,51.6799994477629,17000,51.6799994477629
12482.14,1000000000,80286711.6585637,51.6799994477629,17000,51.6799994477629
12540.96,1000000000,80286711.6585637,51.6799994477629,17000,51.6799994477629
12600.73,1000000000,80286711.6585637,51.6799994477629,17000,51.6799994477629
12661.75,1000000000,80286711.6585637,51.6799994477629,17000,51.6799994477629
12722.19,999079677.262306,80717660.0447561,52.4307056458776,18000,52.4307056458776
